,Latitude,Longitude,Depth,Root Mean Square,Magnitude,Day,Month,Year,Hours,Minutes,Seconds,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWW,Location Source_ISCGEM,Magnitude Source_NC,Magnitude Source_US
149,4.863,95.089,60.4,0.74,1.9021075263969205,17,3,2005,23,20,49,0,0,1,0,0,0,0,1
150,51.156,179.385,33.0,0.9,1.916922612182061,31,7,2001,12,24,4,0,0,0,1,0,0,0,0
151,-36.272,-72.964,41.5,0.9,1.8718021769015916,23,3,1995,9,18,21,0,1,0,0,0,0,0,0
152,70.992,-6.533,15.0,1.022469952000009,1.88706964903238,25,10,1972,18,25,55,0,1,0,0,0,1,0,0
153,-7.31,128.358,78.0,1.022469952000009,1.8718021769015916,18,2,1973,3,45,11,0,0,0,0,0,0,0,1
154,31.983,50.683,41.0,1.022469952000009,1.9315214116032136,6,4,1977,13,36,37,1,0,0,0,0,0,0,1
155,51.486,-174.66,33.0,1.0,1.88706964903238,5,7,1987,9,23,0,0,1,0,0,0,0,0,0
156,-55.136,-29.617,33.0,0.95,1.8718021769015916,7,11,2000,16,31,38,0,0,0,1,0,0,0,0
157,11.254,-86.035,63.8,1.0,1.9315214116032136,30,6,1986,22,52,12,0,1,0,0,0,0,0,0
158,29.933,138.887,112.4,0.78,1.9600947840472696,21,4,2013,3,22,16,0,0,0,0,1,0,0,1
159,53.107,172.984,15.0,0.89,1.9459101490553128,14,9,2011,18,10,9,0,0,0,0,1,0,0,1
160,-8.347,121.992,39.7,1.1,1.88706964903238,19,5,1993,12,3,28,0,1,0,0,0,0,0,0
161,-22.2795,171.7306,112.4,1.2,1.8718021769015916,21,12,2013,6,38,29,0,0,1,0,0,0,0,1
162,-15.834,167.355,23.9,1.2,2.0014800002101243,11,2,1987,7,56,13,1,0,0,0,0,0,0,1
163,14.461,-90.726,112.4,1.34,1.9021075263969205,3,5,2004,5,12,40,0,0,0,1,0,0,0,0
164,0.658,-25.998,10.0,0.9,1.9315214116032136,28,7,1987,1,44,10,0,1,0,0,0,0,0,0
165,33.905,136.613,112.4,0.91,1.8718021769015916,1,8,2007,8,16,0,0,0,1,0,0,0,0,1
166,-11.012,166.788,10.0,0.6999999999999997,1.88706964903238,10,2,2013,1,30,47,0,0,1,0,0,0,0,1
167,-15.157,-171.922,33.0,1.022469952000009,1.88706964903238,27,12,1975,23,34,38,0,0,0,0,0,0,0,1
168,-36.1703,-97.054,16.83,0.87,1.9878743481543453,6,5,2014,20,52,28,0,0,0,0,1,0,0,1
169,-2.74,139.469,93.0,1.022469952000009,1.8718021769015916,23,10,1975,18,54,24,0,0,0,0,0,0,0,1
170,-35.286,-106.708,10.0,1.12,1.9021075263969205,4,10,1997,18,31,41,0,0,0,1,0,0,0,0
171,-22.889,-70.546,36.2,0.84,1.8718021769015916,25,5,1997,18,57,30,0,0,0,1,0,0,0,0
172,-24.796,-70.094,48.9,1.022469952000009,1.9021075263969205,1,3,1972,21,39,44,0,1,0,0,0,1,0,0
173,3.613,127.008,53.4,1.1,1.9459101490553128,24,3,1992,22,47,7,0,1,0,0,0,0,0,0
174,-34.131,-71.618,37.8,1.1,2.0281482472922856,9,4,1985,1,56,59,0,1,0,0,0,0,1,0
175,55.179,163.244,33.0,1.0,1.9600947840472696,9,1,1983,21,3,54,1,0,0,0,0,0,0,1
176,-13.742,166.673,43.8,1.2,1.9878743481543453,12,10,1991,16,26,25,0,0,1,0,0,0,0,1
177,2.714,128.526,112.4,1.022469952000009,1.916922612182061,20,1,1980,7,28,44,0,0,0,0,0,0,0,1
178,-2.164,138.17,20.7,1.3,2.028148247292285,27,6,1987,0,17,5,0,1,0,0,0,0,1,0
179,29.802,138.662,112.4,0.9,1.8718021769015916,16,1,1986,8,34,44,0,1,0,0,0,0,0,0
180,-17.299,-176.941,17.0,0.73,1.88706964903238,26,12,2009,21,23,27,0,0,0,1,0,0,0,0
181,59.28,-144.06,20.0,1.022469952000009,1.9600947840472696,30,9,1965,23,47,42,0,1,0,0,0,1,0,0
182,15.83,-92.971,99.5,0.95,2.0014800002101243,31,12,1996,12,41,42,0,0,0,1,0,0,0,0
183,-31.218,-177.804,39.7,1.2,1.9021075263969205,7,9,1987,17,43,40,0,1,0,0,0,0,0,0
184,16.108,-96.937,28.0,0.84,1.8718021769015916,13,1,2004,21,28,58,0,0,0,1,0,0,0,0
185,-20.751,-174.151,15.1,0.85,1.9021075263969205,16,5,2006,20,55,48,0,0,0,1,0,0,0,0
186,13.006,49.351,10.0,1.1,1.8718021769015916,8,1,1993,17,31,11,0,1,0,0,0,0,0,0
187,2.69,118.226,16.7,1.1,1.9600947840472696,6,3,1995,18,43,40,0,0,1,0,0,0,0,1
188,-17.853,-178.109,112.4,1.022469952000009,1.9600947840472696,7,8,1970,7,51,13,0,1,0,0,0,1,0,0
189,5.304,124.382,33.0,1.05,1.9021075263969205,20,4,2002,22,39,45,0,0,0,1,0,0,0,0
190,1.0248,-28.1447,10.0,1.07,1.9021075263969205,27,1,2016,15,11,18,0,0,0,0,1,0,0,1
191,-11.191,117.167,33.0,1.022469952000009,1.88706964903238,5,10,1977,18,51,10,0,0,0,0,0,0,0,1
192,12.412,141.634,10.0,1.19,1.9021075263969205,14,8,2010,7,31,2,0,0,0,0,0,0,0,1
193,-16.559,-172.704,33.0,1.2,1.8718021769015916,27,3,1994,7,20,19,0,1,0,0,0,0,0,0
194,-7.817,107.193,51.7,0.93,1.8718021769015916,31,1,2007,20,31,35,0,0,1,0,0,0,0,1
195,-51.874,139.755,10.0,1.3400000000000003,1.8718021769015916,16,11,2006,11,20,45,0,0,0,1,0,0,0,0
196,43.097,147.648,32.9,1.022469952000009,1.88706964903238,16,8,1969,17,13,42,0,1,0,0,0,1,0,0
197,24.13,121.966,25.0,1.022469952000009,1.916922612182061,3,2,1966,17,57,42,0,1,0,0,0,1,0,0
198,-0.146,-24.85,10.0,1.022469952000009,1.8718021769015916,27,10,1980,8,46,41,0,0,0,0,0,0,0,1
199,-50.811,139.375,10.0,1.31,1.88706964903238,27,12,2010,17,2,33,0,0,0,1,0,0,0,0
200,28.837,-113.027,9.0,1.15,1.9459101490553128,12,4,2012,7,6,1,0,0,1,0,0,0,0,1
201,51.261,178.402,33.0,1.022469952000009,1.8718021769015916,4,9,1977,17,16,16,0,0,0,0,0,0,0,1
202,24.114,121.709,28.7,1.1,1.9021075263969205,23,1,1993,8,59,25,0,1,0,0,0,0,0,0
203,-23.825,179.975,112.4,0.93,1.88706964903238,5,9,2010,23,48,27,0,0,0,1,0,0,0,0
204,-10.199,160.855,39.8,1.1,2.028148247292285,10,8,1988,6,38,43,1,0,0,0,0,0,0,1
205,-4.05,152.307,33.0,0.98,1.9740810260220096,28,12,2000,4,34,28,0,0,0,1,0,0,0,0
206,66.309,-18.666,10.0,0.74,1.8718021769015916,21,10,2012,1,25,23,0,0,0,0,1,0,0,1
207,-8.003,156.193,10.0,0.89,1.8718021769015916,1,4,2007,20,54,58,0,0,0,0,0,0,0,1
208,2.667,127.914,33.0,1.07,1.9021075263969205,27,9,1999,14,42,49,0,0,0,1,0,0,0,0
209,-19.7819,-178.2443,112.4,0.82,2.0281482472922856,24,9,2016,21,28,42,0,0,0,0,1,0,0,1
210,-20.766,172.748,23.9,1.1,1.9315214116032136,20,11,1994,6,39,22,0,1,0,0,0,0,0,0
211,1.559,126.354,33.0,1.3400000000000003,1.916922612182061,24,2,2001,16,7,48,0,0,0,1,0,0,0,0
212,29.739,140.699,112.4,1.0,1.8718021769015916,1,6,1992,18,29,20,0,1,0,0,0,0,0,0
213,-23.626,-70.38,33.0,1.2,1.88706964903238,8,11,1992,10,22,53,0,1,0,0,0,0,0,0
214,-10.483,165.117,66.6,1.02,1.9021075263969205,6,7,2006,15,11,37,0,0,1,0,0,0,0,1
215,36.374,141.231,35.0,1.022469952000009,1.88706964903238,6,1,1971,6,4,22,0,1,0,0,0,1,0,0
216,-23.78,-175.771,58.9,1.1,1.916922612182061,25,11,1990,3,36,13,0,1,0,0,0,0,0,0
217,38.319,142.364,40.0,1.022469952000009,1.9878743481543453,14,6,1978,11,34,20,1,0,0,0,0,0,0,1
218,-54.73,1.5,10.0,1.022469952000009,1.9459101490553128,22,7,1968,5,9,14,0,1,0,0,0,1,0,0
219,-3.083,138.734,10.0,1.03,1.9021075263969205,16,6,2007,21,52,35,0,0,0,1,0,0,0,0
220,45.972,21.141,33.0,1.022469952000009,1.88706964903238,17,4,1974,1,31,34,0,0,0,0,0,0,0,1
221,58.3062,-136.9601,10.0,1.3400000000000003,1.9600947840472696,25,7,2014,10,54,50,0,0,0,0,1,0,0,1
222,-22.546,179.412,112.4,0.88,1.9459101490553128,18,7,1999,10,34,3,0,0,1,0,0,0,0,1
223,-13.37,-111.34,33.0,1.022469952000009,1.916922612182061,13,6,1978,2,54,51,1,0,0,0,0,0,0,1
224,-7.318,126.393,112.4,0.86,1.8718021769015916,27,7,2010,16,54,13,0,0,0,1,0,0,0,0
225,-21.465,-67.498,112.4,1.2,1.88706964903238,27,8,1985,10,44,35,0,1,0,0,0,0,0,0
